the_geom,MainStreet,CrossStree,Install_Da,LONG,LAT,X,Y
POINT (-73.82143009043354 40.75652066139392),Bowne Street,Ash Avenue,05/05/2020 12:00:00 AM,-73.8214300904,40.7565206614,1033722.00013,214947.999944
POINT (-73.82029941601805 40.75551432445383),Bowne Street,Cherry Avenue,05/05/2020 12:00:00 AM,-73.820299416,40.7555143245,1034036.00015,214582.00002
POINT (-73.82211056526126 40.75716673112532),Bowne Street,Franklin Avenue,05/05/2020 12:00:00 AM,-73.8221105653,40.7571667311,1033532.99985,215183.00013
POINT (-73.82647627740975 40.77311762494493),Union Street,28 Avenue,05/05/2020 12:00:00 AM,-73.8264762774,40.7731176249,1032311.99999,220991.999995
POINT (-73.82735179162242 40.76685543200647),Union Street,34 Avenue,05/05/2020 12:00:00 AM,-73.8273517916,40.766855432,1032074.00014,218709.999966
POINT (-73.82713786510733 40.76165107081543),Union Street,38 Avenue,05/05/2020 12:00:00 AM,-73.8271378651,40.7616510708,1032137.00001,216814.000149
POINT (-73.90784565786387 40.8373062747592),E 170 Street,Clay Avenue,05/06/2020 12:00:00 AM,-73.9078456579,40.8373062748,1009749.99984,244343.999879
POINT (-73.9105955679843 40.83750331418097),E 170 Street,College Avenue,05/06/2020 12:00:00 AM,-73.910595568,40.8375033142,1008989.00005,244415.000065
POINT (-73.90963478103215 40.83712653978678),E 170 Street,Findlay Avenue,05/06/2020 12:00:00 AM,-73.909634781,40.8371265398,1009254.99985,244278.000011
POINT (-73.91508907229179 40.839224899004606),E 170 Street,Wythe Place,05/06/2020 12:00:00 AM,-73.9150890723,40.839224899,1007744.99991,245041.000125
POINT (-73.9248479224584 40.841496055862464),Ogden Avenue,West 170 Street,05/06/2020 12:00:00 AM,-73.9248479225,40.8414960559,1005044.00007,245866.000115
POINT (-73.91978528391768 40.84087508603332),W 170 Street,Cromwell Avenue,05/06/2020 12:00:00 AM,-73.9197852839,40.840875086,1006444.99989,245640.999909
POINT (-73.92238795166021 40.84042673429594),W 170 Street,Shakespeare Avenue,05/06/2020 12:00:00 AM,-73.9223879517,40.8404267343,1005725.00002,245476.999909
POINT (-73.80767944279805 40.76095874538598),Sanford Avenue,158 Street,05/06/2020 12:00:00 AM,-73.8076794428,40.7609587454,1037528.00006,216572.999975
POINT (-73.80399950761968 40.76027184570986),Sanford Avenue,162 Street,05/06/2020 12:00:00 AM,-73.8039995076,40.7602718457,1038547.99999,216325.000142
POINT (-73.8030722345655 40.76012753670843),Sanford Avenue,163 Street,05/06/2020 12:00:00 AM,-73.8030722346,40.7601275367,1038805.00013,216272.999918
POINT (-73.83074823280889 40.75574424065625),Sanford Avenue,Frame Place,05/06/2020 12:00:00 AM,-73.8307482328,40.7557442407,1031141.00004,214659.999864
POINT (-73.81413273833054 40.76518252660162),Northern Blvd,150 Place,05/07/2020 12:00:00 AM,-73.8141327383,40.7651825266,1035737.00003,218107.999857
POINT (-73.90472683107318 40.7010548004672),Seneca Avenue,Cornelia Street,05/07/2020 12:00:00 AM,-73.9047268311,40.7010548005,1010666.99998,194704.000077
POINT (-73.90843131158653 40.70324813147345),Seneca Avenue,Gates Avenue,05/07/2020 12:00:00 AM,-73.9084313116,40.7032481315,1009639.00006,195502.000122
POINT (-73.90991605882984 40.70412488362452),Seneca Avenue,Grove Street,05/07/2020 12:00:00 AM,-73.9099160588,40.7041248836,1009226.9999,195821.00014
POINT (-73.91287845577665 40.70587832380878),Seneca Avenue,Harman Street,05/07/2020 12:00:00 AM,-73.9128784558,40.7058783238,1008404.99991,196458.999848
POINT (-73.91362088423827 40.70631530107913),Seneca Avenue,Himrod Street,05/07/2020 12:00:00 AM,-73.9136208842,40.7063153011,1008198.99999,196617.999858
POINT (-73.909173677865 40.703687882334016),Seneca Avenue,Linden Street,05/07/2020 12:00:00 AM,-73.9091736779,40.7036878823,1009433.00015,195662.00013
POINT (-73.9062078730171 40.70193159771151),Seneca Avenue,Madison Street,05/07/2020 12:00:00 AM,-73.906207873,40.7019315977,1010256.00014,195023.000096
